Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -169.8114    -176.6684       6.8570  1657.7
0.0010        -170.0116    -176.6240       6.6124  1598.6
0.0020        -170.0032    -176.5215       6.5184  1575.9
0.0030        -169.9938    -176.3625       6.3686  1539.7
0.0040        -169.9830    -176.1485       6.1655  1490.6
0.0050        -169.9701    -175.8818       5.9117  1429.2
0.0060        -169.9545    -175.5656       5.6111  1356.5
0.0070        -169.9358    -175.2048       5.2690  1273.8
0.0080        -169.9135    -174.8066       4.8931  1183.0
0.0090        -169.8872    -174.3805       4.4932  1086.3
0.0100        -169.8568    -173.9391       4.0823   986.9
0.0110        -169.8221    -173.4980       3.6759   888.7
0.0120        -169.7832    -173.0747       3.2915   795.7
0.0130        -169.7406    -172.6874       2.9468   712.4
0.0140        -169.6947    -172.3532       2.6584   642.7
0.0150        -169.6463    -172.0860       2.4398   589.8
0.0160        -169.5960    -171.8954       2.2994   555.9
0.0170        -169.5447    -171.7851       2.2404   541.6
0.0180        -169.4932    -171.7530       2.2599   546.3
0.0190        -169.4421    -171.7918       2.3498   568.1
0.0200        -169.3920    -171.8899       2.4979   603.9
0.0210        -169.3433    -172.0331       2.6898   650.3
0.0220        -169.2965    -172.2068       2.9102   703.6
0.0230        -169.2518    -172.3970       3.1452   760.4
0.0240        -169.2093    -172.5918       3.3825   817.8
0.0250        -169.1690    -172.7812       3.6122   873.3
0.0260        -169.1310    -172.9570       3.8261   925.0
0.0270        -169.0950    -173.1126       4.0176   971.3
0.0280        -169.0608    -173.2425       4.1817  1011.0
0.0290        -169.0282    -173.3432       4.3150  1043.2
0.0300        -168.9967    -173.4132       4.4165  1067.7
0.0310        -168.9662    -173.4532       4.4871  1084.8
0.0320        -168.9363    -173.4656       4.5293  1095.0
0.0330        -168.9069    -173.4535       4.5467  1099.2
0.0340        -168.8777    -173.4201       4.5424  1098.2
0.0350        -168.8485    -173.3681       4.5196  1092.7
0.0360        -168.8191    -173.2998       4.4806  1083.2
0.0370        -168.7894    -173.2163       4.4269  1070.2
0.0380        -168.7592    -173.1186       4.3594  1053.9
0.0390        -168.7284    -173.0069       4.2785  1034.4
0.0400        -168.6969    -172.8804       4.1834  1011.4
0.0410        -168.6645    -172.7374       4.0729   984.7
0.0420        -168.6308    -172.5760       3.9452   953.8
0.0430        -168.5958    -172.3955       3.7998   918.6
0.0440        -168.5591    -172.1974       3.6383   879.6
0.0450        -168.5206    -171.9855       3.4648   837.7
0.0460        -168.4803    -171.7662       3.2859   794.4
0.0470        -168.4380    -171.5482       3.1101   751.9
0.0480        -168.3939    -171.3421       2.9481   712.7
0.0490        -168.3483    -171.1592       2.8110   679.6
0.0500        -168.3014    -171.0103       2.7089   654.9
0.0510        -168.2538    -170.9037       2.6499   640.6
0.0520        -168.2058    -170.8435       2.6377   637.7
0.0530        -168.1580    -170.8296       2.6716   645.9
0.0540        -168.1108    -170.8572       2.7464   664.0
0.0550        -168.0644    -170.9184       2.8540   690.0
0.0560        -168.0191    -171.0036       2.9846   721.5
0.0570        -167.9749    -171.1028       3.1279   756.2
0.0580        -167.9321    -171.2072       3.2751   791.8
0.0590        -167.8906    -171.3099       3.4192   826.6
0.0600        -167.8504    -171.4062       3.5559   859.7
0.0610        -167.8113    -171.4945       3.6831   890.4
0.0620        -167.7735    -171.5749       3.8014   919.0
0.0630        -167.7368    -171.6493       3.9124   945.9
0.0640        -167.7012    -171.7200       4.0187   971.6
0.0650        -167.6668    -171.7896       4.1228   996.7
0.0660        -167.6335    -171.8599       4.2264  1021.8
0.0670        -167.6013    -171.9312       4.3299  1046.8
0.0680        -167.5703    -172.0025       4.4322  1071.5
0.0690        -167.5403    -172.0714       4.5310  1095.4
0.0700        -167.5113    -172.1345       4.6232  1117.7
0.0710        -167.4833    -172.1886       4.7053  1137.6
0.0720        -167.4560    -172.2306       4.7746  1154.3
0.0730        -167.4293    -172.2584       4.8290  1167.5
0.0740        -167.4031    -172.2707       4.8675  1176.8
0.0750        -167.3772    -172.2676       4.8904  1182.3
0.0760        -167.3516    -172.2503       4.8987  1184.3
0.0770        -167.3260    -172.2201       4.8941  1183.2
0.0780        -167.3004    -172.1787       4.8783  1179.4
0.0790        -167.2746    -172.1275       4.8529  1173.2
0.0800        -167.2486    -172.0685       4.8199  1165.3
0.0810        -167.2222    -172.0036       4.7814  1155.9
0.0820        -167.1953    -171.9357       4.7404  1146.1
0.0830        -167.1679    -171.8694       4.7015  1136.6
0.0840        -167.1401    -171.8099       4.6698  1129.0
0.0850        -167.1120    -171.7628       4.6508  1124.4
0.0860        -167.0839    -171.7326       4.6487  1123.9
0.0870        -167.0559    -171.7219       4.6660  1128.1
0.0880        -167.0282    -171.7309       4.7027  1136.9
0.0890        -167.0011    -171.7574       4.7563  1149.9
0.0900        -166.9746    -171.7970       4.8224  1165.9
0.0910        -166.9488    -171.8435       4.8947  1183.4
0.0920        -166.9236    -171.8904       4.9668  1200.8
0.0930        -166.8991    -171.9321       5.0330  1216.8
0.0940        -166.8750    -171.9646       5.0895  1230.4
0.0950        -166.8514    -171.9859       5.1345  1241.3
0.0960        -166.8282    -171.9964       5.1682  1249.5
0.0970        -166.8052    -171.9980       5.1928  1255.4
0.0980        -166.7825    -171.9932       5.2108  1259.8
0.0990        -166.7600    -171.9845       5.2245  1263.1
0.1000        -166.7377    -171.9734       5.2357  1265.8
0.1010        -166.7155    -171.9608       5.2453  1268.1
0.1020        -166.6935    -171.9474       5.2540  1270.2
0.1030        -166.6714    -171.9339       5.2625  1272.3
0.1040        -166.6495    -171.9215       5.2720  1274.6
0.1050        -166.6276    -171.9118       5.2843  1277.5
0.1060        -166.6058    -171.9068       5.3009  1281.6
0.1070        -166.5843    -171.9080       5.3237  1287.1
0.1080        -166.5631    -171.9166       5.3536  1294.3
0.1090        -166.5421    -171.9331       5.3910  1303.3
0.1100        -166.5216    -171.9576       5.4361  1314.2
0.1110        -166.5015    -171.9903       5.4888  1327.0
0.1120        -166.4820    -172.0304       5.5483  1341.4
0.1130        -166.4633    -172.0756       5.6122  1356.8
0.1140        -166.4453    -172.1219       5.6765  1372.4
0.1150        -166.4281    -172.1640       5.7360  1386.7
0.1160        -166.4113    -172.1963       5.7850  1398.6
0.1170        -166.3950    -172.2134       5.8184  1406.7
0.1180        -166.3788    -172.2117       5.8329  1410.2
0.1190        -166.3626    -172.1896       5.8270  1408.7
0.1200        -166.3463    -172.1480       5.8017  1402.6
0.1210        -166.3296    -172.0896       5.7600  1392.6
0.1220        -166.3124    -172.0185       5.7061  1379.5
0.1230        -166.2947    -171.9391       5.6444  1364.6
0.1240        -166.2765    -171.8557       5.5792  1348.8
0.1250        -166.2577    -171.7720       5.5143  1333.1
0.1260        -166.2383    -171.6908       5.4525  1318.2
0.1270        -166.2183    -171.6140       5.3958  1304.5
0.1280        -166.1977    -171.5433       5.3455  1292.3
0.1290        -166.1768    -171.4792       5.3024  1281.9
0.1300        -166.1554    -171.4216       5.2662  1273.2
0.1310        -166.1336    -171.3702       5.2366  1266.0
0.1320        -166.1115    -171.3250       5.2135  1260.4
0.1330        -166.0891    -171.2860       5.1969  1256.4
0.1340        -166.0666    -171.2541       5.1875  1254.1
0.1350        -166.0438    -171.2308       5.1870  1254.0
0.1360        -166.0210    -171.2185       5.1975  1256.6
0.1370        -165.9984    -171.2203       5.2219  1262.4
0.1380        -165.9762    -171.2375       5.2613  1272.0
0.1390        -165.9544    -171.2700       5.3156  1285.1
0.1400        -165.9331    -171.3176       5.3845  1301.8
0.1410        -165.9123    -171.3806       5.4683  1322.0
0.1420        -165.8923    -171.4609       5.5685  1346.3
0.1430        -165.8734    -171.5606       5.6872  1374.9
0.1440        -165.8558    -171.6811       5.8252  1408.3
0.1450        -165.8399    -171.8210       5.9812  1446.0
0.1460        -165.8258    -171.9757       6.1499  1486.8
0.1470        -165.8136    -172.1363       6.3227  1528.6
0.1480        -165.8031    -172.2910       6.4878  1568.5
0.1490        -165.7943    -172.4274       6.6332  1603.6
0.1500        -165.7867    -172.5346       6.7479  1631.4
0.1510        -165.7799    -172.6038       6.8239  1649.8
0.1520        -165.7736    -172.6310       6.8574  1657.8
0.1530        -165.7674    -172.6162       6.8488  1655.8
0.1540        -165.7610    -172.5634       6.8024  1644.6
0.1550        -165.7542    -172.4784       6.7242  1625.7
0.1560        -165.7466    -172.3668       6.6202  1600.5
0.1570        -165.7379    -172.2346       6.4967  1570.7
0.1580        -165.7280    -172.0884       6.3604  1537.7
0.1590        -165.7168    -171.9347       6.2179  1503.2
0.1600        -165.7042    -171.7794       6.0752  1468.7
0.1610        -165.6902    -171.6279       5.9377  1435.5
0.1620        -165.6749    -171.4849       5.8101  1404.6
0.1630        -165.6583    -171.3551       5.6968  1377.3
0.1640        -165.6407    -171.2420       5.6013  1354.2
0.1650        -165.6222    -171.1477       5.5255  1335.8
0.1660        -165.6031    -171.0726       5.4695  1322.3
0.1670        -165.5835    -171.0160       5.4325  1313.4
0.1680        -165.5635    -170.9759       5.4124  1308.5
0.1690        -165.5434    -170.9495       5.4061  1307.0
0.1700        -165.5233    -170.9334       5.4101  1308.0
0.1710        -165.5031    -170.9241       5.4210  1310.6
0.1720        -165.4830    -170.9187       5.4357  1314.1
0.1730        -165.4629    -170.9151       5.4522  1318.1
0.1740        -165.4429    -170.9127       5.4698  1322.4
0.1750        -165.4231    -170.9119       5.4888  1327.0
0.1760        -165.4034    -170.9130       5.5095  1332.0
0.1770        -165.3841    -170.9159       5.5319  1337.4
0.1780        -165.3650    -170.9199       5.5549  1342.9
0.1790        -165.3461    -170.9231       5.5770  1348.3
0.1800        -165.3275    -170.9240       5.5965  1353.0
0.1810        -165.3090    -170.9210       5.6120  1356.8
0.1820        -165.2906    -170.9132       5.6226  1359.3
0.1830        -165.2722    -170.9008       5.6285  1360.8
0.1840        -165.2540    -170.8841       5.6301  1361.1
0.1850        -165.2357    -170.8641       5.6284  1360.7
0.1860        -165.2174    -170.8420       5.6246  1359.8
0.1870        -165.1991    -170.8194       5.6203  1358.8
0.1880        -165.1808    -170.7975       5.6167  1357.9
0.1890        -165.1625    -170.7771       5.6146  1357.4
0.1900        -165.1443    -170.7582       5.6139  1357.2
0.1910        -165.1260    -170.7404       5.6144  1357.4
0.1920        -165.1077    -170.7240       5.6163  1357.8
0.1930        -165.0894    -170.7092       5.6198  1358.6
0.1940        -165.0713    -170.6962       5.6249  1359.9
0.1950        -165.0533    -170.6838       5.6304  1361.2
0.1960        -165.0354    -170.6694       5.6340  1362.1
0.1970        -165.0174    -170.6505       5.6331  1361.9
0.1980        -164.9993    -170.6252       5.6259  1360.1
0.1990        -164.9812    -170.5924       5.6113  1356.6
0.2000        -164.9628    -170.5517       5.5889  1351.2
0.2010        -164.9442    -170.5033       5.5591  1344.0
0.2020        -164.9252    -170.4485       5.5234  1335.3
0.2030        -164.9057    -170.3900       5.4843  1325.9
0.2040        -164.8858    -170.3314       5.4455  1316.5
0.2050        -164.8656    -170.2772       5.4117  1308.3
0.2060        -164.8450    -170.2320       5.3870  1302.4
0.2070        -164.8243    -170.1994       5.3752  1299.5
0.2080        -164.8035    -170.1820       5.3786  1300.3
0.2090        -164.7827    -170.1815       5.3988  1305.2
0.2100        -164.7623    -170.1986       5.4363  1314.3
0.2110        -164.7423    -170.2324       5.4900  1327.3
0.2120        -164.7231    -170.2805       5.5574  1343.6
0.2130        -164.7045    -170.3384       5.6339  1362.1
0.2140        -164.6867    -170.4006       5.7139  1381.4
0.2150        -164.6695    -170.4623       5.7928  1400.5
0.2160        -164.6530    -170.5208       5.8677  1418.6
0.2170        -164.6374    -170.5737       5.9362  1435.1
0.2180        -164.6225    -170.6181       5.9955  1449.5
0.2190        -164.6081    -170.6512       6.0431  1461.0
0.2200        -164.5941    -170.6716       6.0775  1469.3
0.2210        -164.5804    -170.6790       6.0985  1474.4
0.2220        -164.5670    -170.6732       6.1062  1476.2
0.2230        -164.5536    -170.6547       6.1011  1475.0
0.2240        -164.5400    -170.6246       6.0846  1471.0
0.2250        -164.5261    -170.5859       6.0598  1465.0
0.2260        -164.5118    -170.5434       6.0316  1458.2
0.2270        -164.4973    -170.5035       6.0061  1452.0
0.2280        -164.4827    -170.4716       5.9889  1447.9
0.2290        -164.4682    -170.4510       5.9828  1446.4
0.2300        -164.4537    -170.4417       5.9879  1447.6
0.2310        -164.4395    -170.4410       6.0015  1450.9
0.2320        -164.4254    -170.4442       6.0188  1455.1
0.2330        -164.4115    -170.4456       6.0340  1458.8
0.2340        -164.3978    -170.4391       6.0413  1460.5
0.2350        -164.3841    -170.4190       6.0349  1459.0
0.2360        -164.3701    -170.3802       6.0101  1453.0
0.2370        -164.3558    -170.3201       5.9643  1441.9
0.2380        -164.3409    -170.2382       5.8974  1425.7
0.2390        -164.3251    -170.1367       5.8116  1405.0
0.2400        -164.3081    -170.0212       5.7131  1381.2
0.2410        -164.2900    -169.9013       5.6113  1356.6
0.2420        -164.2707    -169.7901       5.5194  1334.4
0.2430        -164.2504    -169.7030       5.4527  1318.2
0.2440        -164.2295    -169.6566       5.4271  1312.1
0.2450        -164.2088    -169.6648       5.4560  1319.1
0.2460        -164.1889    -169.7351       5.5462  1340.8
0.2470        -164.1705    -169.8665       5.6961  1377.1
0.2480        -164.1539    -170.0501       5.8962  1425.5
0.2490        -164.1394    -170.2709       6.1315  1482.4
0.2500        -164.1272    -170.5117       6.3845  1543.5
0.2510        -164.1173    -170.7558       6.6385  1604.9
0.2520        -164.1096    -170.9899       6.8803  1663.4
0.2530        -164.1041    -171.2049       7.1007  1716.7
0.2540        -164.1008    -171.3949       7.2941  1763.4
0.2550        -164.0995    -171.5562       7.4567  1802.7
0.2560        -164.0997    -171.6850       7.5853  1833.8
0.2570        -164.1013    -171.7783       7.6771  1856.0
0.2580        -164.1036    -171.8340       7.7304  1868.9
0.2590        -164.1065    -171.8514       7.7449  1872.4
0.2600        -164.1094    -171.8307       7.7213  1866.7
0.2610        -164.1120    -171.7736       7.6616  1852.3
0.2620        -164.1140    -171.6831       7.5691  1829.9
0.2630        -164.1151    -171.5630       7.4480  1800.6
0.2640        -164.1148    -171.4182       7.3033  1765.7
0.2650        -164.1131    -171.2542       7.1410  1726.4
0.2660        -164.1099    -171.0771       6.9673  1684.4
0.2670        -164.1049    -170.8926       6.7876  1641.0
0.2680        -164.0982    -170.7051       6.6068  1597.3
0.2690        -164.0897    -170.5187       6.4290  1554.3
0.2700        -164.0794    -170.3377       6.2583  1513.0
0.2710        -164.0673    -170.1666       6.0993  1474.6
0.2720        -164.0535    -170.0109       5.9575  1440.3
0.2730        -164.0381    -169.8772       5.8391  1411.7
0.2740        -164.0215    -169.7733       5.7517  1390.5
0.2750        -164.0042    -169.7067       5.7024  1378.6
0.2760        -163.9866    -169.6829       5.6963  1377.1
0.2770        -163.9692    -169.7040       5.7348  1386.4
0.2780        -163.9524    -169.7680       5.8156  1406.0
0.2790        -163.9365    -169.8696       5.9331  1434.4
0.2800        -163.9219    -170.0011       6.0793  1469.7
0.2810        -163.9085    -170.1544       6.2458  1510.0
0.2820        -163.8968    -170.3221       6.4253  1553.4
0.2830        -163.8869    -170.4980       6.6111  1598.3
0.2840        -163.8788    -170.6759       6.7971  1643.3
0.2850        -163.8724    -170.8502       6.9777  1686.9
0.2860        -163.8678    -171.0168       7.1490  1728.4
0.2870        -163.8647    -171.1737       7.3090  1767.0
0.2880        -163.8632    -171.3208       7.4577  1803.0
0.2890        -163.8632    -171.4589       7.5956  1836.3
0.2900        -163.8649    -171.5873       7.7224  1867.0
0.2910        -163.8680    -171.7030       7.8349  1894.2
0.2920        -163.8724    -171.8002       7.9278  1916.6
0.2930        -163.8778    -171.8720       7.9942  1932.7
0.2940        -163.8837    -171.9107       8.0270  1940.6
0.2950        -163.8901    -171.9098       8.0198  1938.9
0.2960        -163.8964    -171.8623       7.9659  1925.8
0.2970        -163.9020    -171.7612       7.8592  1900.1
0.2980        -163.9060    -171.6039       7.6979  1861.1
0.2990        -163.9079    -171.3949       7.4870  1810.1
0.3000        -163.9072    -171.1458       7.2385  1750.0
0.3010        -163.9039    -170.8744       6.9705  1685.2
0.3020        -163.8978    -170.6021       6.7043  1620.8
0.3030        -163.8892    -170.3514       6.4622  1562.3
0.3040        -163.8789    -170.1408       6.2619  1513.9
0.3050        -163.8673    -169.9791       6.1118  1477.6
0.3060        -163.8546    -169.8635       6.0089  1452.7
0.3070        -163.8410    -169.7837       5.9427  1436.7
0.3080        -163.8267    -169.7273       5.9006  1426.5
0.3090        -163.8117    -169.6831       5.8715  1419.5
0.3100        -163.7961    -169.6437       5.8476  1413.7
0.3110        -163.7799    -169.6061       5.8262  1408.6
0.3120        -163.7632    -169.5722       5.8090  1404.4
0.3130        -163.7462    -169.5482       5.8020  1402.7
0.3140        -163.7292    -169.5426       5.8134  1405.4
0.3150        -163.7123    -169.5637       5.8514  1414.6
0.3160        -163.6959    -169.6198       5.9239  1432.2
0.3170        -163.6806    -169.7165       6.0360  1459.3
0.3180        -163.6668    -169.8549       6.1881  1496.0
0.3190        -163.6550    -170.0296       6.3746  1541.1
0.3200        -163.6453    -170.2295       6.5842  1591.8
0.3210        -163.6378    -170.4393       6.8015  1644.3
0.3220        -163.6324    -170.6421       7.0097  1694.7
0.3230        -163.6288    -170.8221       7.1933  1739.1
0.3240        -163.6266    -170.9673       7.3407  1774.7
0.3250        -163.6255    -171.0718       7.4463  1800.2
0.3260        -163.6253    -171.1345       7.5092  1815.4
0.3270        -163.6258    -171.1575       7.5318  1820.9
0.3280        -163.6266    -171.1433       7.5167  1817.2
0.3290        -163.6274    -171.0932       7.4658  1804.9
0.3300        -163.6276    -171.0077       7.3801  1784.2
0.3310        -163.6268    -170.8884       7.2617  1755.6
0.3320        -163.6245    -170.7401       7.1156  1720.3
0.3330        -163.6203    -170.5720       6.9518  1680.7
0.3340        -163.6141    -170.3991       6.7850  1640.3
0.3350        -163.6063    -170.2402       6.6339  1603.8
0.3360        -163.5970    -170.1150       6.5180  1575.8
0.3370        -163.5869    -170.0410       6.4541  1560.3
0.3380        -163.5767    -170.0298       6.4531  1560.1
0.3390        -163.5671    -170.0849       6.5178  1575.8
0.3400        -163.5585    -170.2011       6.6426  1605.9
0.3410        -163.5516    -170.3658       6.8142  1647.4
0.3420        -163.5463    -170.5613       7.0150  1695.9
0.3430        -163.5429    -170.7692       7.2263  1747.0
0.3440        -163.5414    -170.9735       7.4322  1796.8
0.3450        -163.5417    -171.1615       7.6198  1842.2
0.3460        -163.5439    -171.3234       7.7795  1880.8
0.3470        -163.5475    -171.4511       7.9036  1910.8
0.3480        -163.5523    -171.5388       7.9865  1930.8
0.3490        -163.5578    -171.5825       8.0247  1940.1
0.3500        -163.5634    -171.5813       8.0179  1938.4
0.3510        -163.5688    -171.5372       7.9684  1926.4
0.3520        -163.5736    -171.4548       7.8812  1905.4
0.3530        -163.5776    -171.3403       7.7627  1876.7
0.3540        -163.5804    -171.1998       7.6193  1842.1
0.3550        -163.5819    -171.0387       7.4567  1802.7
0.3560        -163.5818    -170.8616       7.2798  1760.0
0.3570        -163.5800    -170.6729       7.0930  1714.8
0.3580        -163.5762    -170.4772       6.9009  1668.4
0.3590        -163.5704    -170.2796       6.7092  1622.0
