Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -401.5563    -422.7951      21.2388  2567.4
0.0020        -401.5212    -422.4537      20.9325  2530.3
0.0040        -401.5301    -421.4188      19.8887  2404.2
0.0060        -401.5136    -419.6808      18.1672  2196.1
0.0080        -401.4469    -417.3218      15.8748  1919.0
0.0100        -401.3217    -414.6307      13.3090  1608.8
0.0120        -401.1452    -412.0644      10.9193  1319.9
0.0140        -400.9353    -410.0636       9.1283  1103.4
0.0160        -400.7060    -408.8591       8.1531   985.5
0.0180        -400.4665    -408.4363       7.9699   963.4
0.0200        -400.2261    -408.6229       8.3968  1015.0
0.0220        -399.9926    -409.1846       9.1920  1111.1
0.0240        -399.7734    -409.8910      10.1176  1223.0
0.0260        -399.5693    -410.5368      10.9674  1325.7
0.0280        -399.3776    -410.9716      11.5939  1401.5
0.0300        -399.1949    -411.1214      11.9266  1441.7
0.0320        -399.0154    -410.9808      11.9655  1446.4
0.0340        -398.8337    -410.6094      11.7757  1423.5
0.0360        -398.6473    -410.1218      11.4745  1387.0
0.0380        -398.4541    -409.6601      11.2060  1354.6
0.0400        -398.2596    -409.3696      11.1100  1343.0
0.0420        -398.0699    -409.3331      11.2632  1361.5
0.0440        -397.8889    -409.5241      11.6352  1406.5
0.0460        -397.7158    -409.8200      12.1042  1463.2
0.0480        -397.5493    -410.0764      12.5271  1514.3
0.0500        -397.3882    -410.1868      12.7986  1547.1
0.0520        -397.2259    -410.1083      12.8824  1557.2
0.0540        -397.0636    -409.8855      12.8219  1549.9
0.0560        -396.9034    -409.5913      12.6879  1533.7
0.0580        -396.7423    -409.2624      12.5201  1513.4
0.0600        -396.5783    -408.9091      12.3308  1490.6
0.0620        -396.4103    -408.5361      12.1258  1465.8
0.0640        -396.2369    -408.1544      11.9175  1440.6
0.0660        -396.0590    -407.7908      11.7319  1418.2
0.0680        -395.8768    -407.4822      11.6054  1402.9
0.0700        -395.6922    -407.2725      11.5803  1399.8
0.0720        -395.5090    -407.2014      11.6924  1413.4
0.0740        -395.3303    -407.2812      11.9509  1444.6
0.0760        -395.1576    -407.4885      12.3309  1490.6
0.0780        -394.9906    -407.7841      12.7935  1546.5
0.0800        -394.8323    -408.1450      13.3128  1609.3
0.0820        -394.6866    -408.5515      13.8649  1676.0
0.0840        -394.5541    -408.9582      14.4040  1741.2
0.0860        -394.4330    -409.2949      14.8619  1796.5
0.0880        -394.3188    -409.4902      15.1714  1833.9
0.0900        -394.2083    -409.5042      15.2959  1849.0
0.0920        -394.0985    -409.3361      15.2376  1841.9
0.0940        -393.9855    -409.0175      15.0320  1817.1
0.0960        -393.8681    -408.6103      14.7422  1782.0
0.0980        -393.7449    -408.1882      14.4433  1745.9
0.1000        -393.6168    -407.8238      14.2071  1717.4
0.1020        -393.4866    -407.5722      14.0856  1702.7
0.1040        -393.3562    -407.4495      14.0933  1703.6
0.1060        -393.2275    -407.4347      14.2072  1717.4
0.1080        -393.1020    -407.4784      14.3765  1737.8
0.1100        -392.9784    -407.5184      14.5400  1757.6
0.1120        -392.8593    -407.5025      14.6432  1770.1
0.1140        -392.7391    -407.3813      14.6421  1769.9
0.1160        -392.6142    -407.1455      14.5313  1756.5
0.1180        -392.4806    -406.8687      14.3881  1739.2
0.1200        -392.3466    -406.7084      14.3618  1736.1
0.1220        -392.2197    -406.7930      14.5733  1761.6
0.1240        -392.1049    -407.1317      15.0268  1816.4
0.1260        -392.0020    -407.6125      15.6104  1887.0
0.1280        -391.9072    -408.0716      16.1644  1954.0
0.1300        -391.8194    -408.3874      16.5679  2002.7
0.1320        -391.7343    -408.5138      16.7795  2028.3
0.1340        -391.6534    -408.4779      16.8245  2033.7
0.1360        -391.5742    -408.3276      16.7533  2025.2
0.1380        -391.4953    -408.1015      16.6062  2007.4
0.1400        -391.4129    -407.8206      16.4077  1983.4
0.1420        -391.3236    -407.5139      16.1903  1957.1
0.1440        -391.2280    -407.2482      16.0203  1936.5
0.1460        -391.1321    -407.1103      15.9782  1931.5
0.1480        -391.0405    -407.1432      16.1027  1946.5
0.1500        -390.9555    -407.3098      16.3542  1976.9
0.1520        -390.8761    -407.5093      16.6332  2010.6
0.1540        -390.7928    -407.6475      16.8547  2037.4
0.1560        -390.7077    -407.7453      17.0376  2059.5
0.1580        -390.6254    -407.9229      17.2975  2090.9
0.1600        -390.5581    -408.3040      17.7459  2145.1
0.1620        -390.5122    -408.8764      18.3642  2219.9
0.1640        -390.4815    -409.4515      18.9700  2293.1
0.1660        -390.4527    -409.7995      19.3468  2338.6
0.1680        -390.4233    -409.8125      19.3892  2343.8
0.1700        -390.3890    -409.5155      19.1265  2312.0
0.1720        -390.3474    -409.0289      18.6815  2258.2
0.1740        -390.3002    -408.5055      18.2053  2200.7
0.1760        -390.2497    -408.0514      17.8017  2151.9
0.1780        -390.1945    -407.6855      17.4910  2114.3
0.1800        -390.1341    -407.3681      17.2340  2083.3
0.1820        -390.0676    -407.0413      16.9737  2051.8
0.1840        -389.9911    -406.6684      16.6773  2016.0
0.1860        -389.9046    -406.2779      16.3732  1979.2
0.1880        -389.8110    -405.9585      16.1474  1951.9
0.1900        -389.7176    -405.8079      16.0903  1945.0
0.1920        -389.6288    -405.8618      16.2330  1962.3
0.1940        -389.5468    -406.0689      16.5220  1997.2
0.1960        -389.4696    -406.3229      16.8533  2037.2
0.1980        -389.3974    -406.5206      17.1232  2069.9
0.2000        -389.3262    -406.5954      17.2692  2087.5
0.2020        -389.2557    -406.5451      17.2894  2089.9
0.2040        -389.1808    -406.4230      17.2422  2084.2
0.2060        -389.1102    -406.3300      17.2198  2081.5
0.2080        -389.0433    -406.2955      17.2523  2085.5
0.2100        -388.9747    -406.2874      17.3126  2092.8
0.2120        -388.9090    -406.2887      17.3797  2100.9
0.2140        -388.8442    -406.2755      17.4314  2107.1
0.2160        -388.7797    -406.2227      17.4430  2108.5
0.2180        -388.7124    -406.1166      17.4043  2103.8
0.2200        -388.6451    -405.9774      17.3323  2095.1
0.2220        -388.5755    -405.8324      17.2570  2086.0
0.2240        -388.5062    -405.7115      17.2054  2079.8
0.2260        -388.4376    -405.6240      17.1864  2077.5
0.2280        -388.3709    -405.5486      17.1777  2076.4
