2025-06-23 13:29:32.704 INFO: Configuration: Namespace(batch_size=5, continue_run=False, cutoff=5.0, device=0, edge_emb='radial', energy_weight=9.0, epochs=5001, eval_interval=2, examples=20, force_weight=1000.0, hidden='256x0e + 256x1o + 256x2e + 256x3o', lr=0.01, lr_factor=0.8, model='pace', num_bessel=6, output_dir='./results/pace/aspirin', patience=1000, scheduler_patience=100, seed=3, split=1, task='aspirin', val_batch_size=15)
2025-06-23 13:32:19.793 INFO: Configuration: Namespace(batch_size=5, continue_run=False, cutoff=5.0, device=0, edge_emb='radial', energy_weight=9.0, epochs=5001, eval_interval=2, examples=20, force_weight=1000.0, hidden='256x0e + 256x1o + 256x2e + 256x3o', lr=0.01, lr_factor=0.8, model='pace', num_bessel=6, output_dir='./results/pace/aspirin', patience=1000, scheduler_patience=100, seed=3, split=1, task='aspirin', val_batch_size=15)
2025-06-23 13:33:31.748 INFO: Configuration: Namespace(batch_size=5, continue_run=False, cutoff=5.0, device=0, edge_emb='radial', energy_weight=9.0, epochs=5001, eval_interval=2, examples=20, force_weight=1000.0, hidden='256x0e + 256x1o + 256x2e + 256x3o', lr=0.01, lr_factor=0.8, model='pace', num_bessel=6, output_dir='./results/pace/aspirin', patience=1000, scheduler_patience=100, seed=3, split=1, task='aspirin', val_batch_size=15)
2025-06-23 13:36:43.123 INFO: Configuration: Namespace(batch_size=5, continue_run=False, cutoff=5.0, device=0, edge_emb='radial', energy_weight=9.0, epochs=5001, eval_interval=2, examples=20, force_weight=1000.0, hidden='256x0e + 256x1o + 256x2e + 256x3o', lr=0.01, lr_factor=0.8, model='pace', num_bessel=6, output_dir='./results/pace/aspirin', patience=1000, scheduler_patience=100, seed=3, split=1, task='aspirin', val_batch_size=15)
2025-06-23 13:43:47.347 INFO: Configuration: Namespace(batch_size=5, continue_run=False, cutoff=5.0, device=0, edge_emb='radial', energy_weight=9.0, epochs=5001, eval_interval=2, examples=20, force_weight=1000.0, hidden='256x0e + 256x1o + 256x2e + 256x3o', lr=0.01, lr_factor=0.8, model='pace', num_bessel=6, output_dir='./results/pace/aspirin', patience=1000, scheduler_patience=100, seed=3, split=1, task='aspirin', val_batch_size=15)
2025-06-23 13:44:49.746 INFO: Configuration: Namespace(batch_size=5, continue_run=False, cutoff=5.0, device=0, edge_emb='radial', energy_weight=9.0, epochs=5001, eval_interval=2, examples=20, force_weight=1000.0, hidden='256x0e + 256x1o + 256x2e + 256x3o', lr=0.01, lr_factor=0.8, model='pace', num_bessel=6, output_dir='./results/pace/aspirin', patience=1000, scheduler_patience=100, seed=3, split=1, task='aspirin', val_batch_size=15)
2025-06-23 13:44:57.200 INFO: Statistics: {'z_table': [1, 6, 8], 'average_energy': tensor(-17617.7363), 'avg_num_neighbors': tensor(14.3086), 'std': 1.2726411819458008, 'mean': 4.464283483684994e-05}
2025-06-23 13:45:20.921 INFO: Number of parameters: 3873440
2025-06-23 13:45:20.958 INFO: Started training
2025-06-23 13:46:12.486 INFO: Epoch 0: loss=768.3851, MAE_E=9014.01 meV, MAE_F=616.16 meV / A, lr_cur=0.01000
2025-06-23 13:46:25.058 INFO: Epoch 2: loss=439.3540, MAE_E=334.67 meV, MAE_F=434.22 meV / A, lr_cur=0.01000
2025-06-23 13:46:37.203 INFO: Epoch 4: loss=200.2205, MAE_E=800.27 meV, MAE_F=299.54 meV / A, lr_cur=0.01000
2025-06-23 13:46:49.456 INFO: Epoch 6: loss=98.3449, MAE_E=1247.48 meV, MAE_F=219.92 meV / A, lr_cur=0.01000
2025-06-23 13:47:01.636 INFO: Epoch 8: loss=66.0749, MAE_E=119.14 meV, MAE_F=182.54 meV / A, lr_cur=0.01000
2025-06-23 13:47:13.904 INFO: Epoch 10: loss=51.3282, MAE_E=465.17 meV, MAE_F=161.41 meV / A, lr_cur=0.01000
2025-06-23 13:47:26.209 INFO: Epoch 12: loss=41.0007, MAE_E=306.81 meV, MAE_F=144.15 meV / A, lr_cur=0.01000
2025-06-23 13:47:38.660 INFO: Epoch 14: loss=32.4768, MAE_E=224.11 meV, MAE_F=128.79 meV / A, lr_cur=0.01000
2025-06-23 13:47:50.818 INFO: Epoch 16: loss=26.3000, MAE_E=85.45 meV, MAE_F=115.53 meV / A, lr_cur=0.01000
2025-06-23 13:48:03.423 INFO: Epoch 18: loss=22.1789, MAE_E=148.00 meV, MAE_F=106.17 meV / A, lr_cur=0.01000
2025-06-23 13:48:15.699 INFO: Epoch 20: loss=19.2419, MAE_E=93.09 meV, MAE_F=98.71 meV / A, lr_cur=0.01000
2025-06-23 13:48:27.835 INFO: Epoch 22: loss=16.8160, MAE_E=122.25 meV, MAE_F=91.87 meV / A, lr_cur=0.01000
2025-06-23 13:48:40.095 INFO: Epoch 24: loss=14.7712, MAE_E=59.72 meV, MAE_F=85.81 meV / A, lr_cur=0.01000
2025-06-23 13:48:52.525 INFO: Epoch 26: loss=13.1432, MAE_E=65.06 meV, MAE_F=80.48 meV / A, lr_cur=0.01000
2025-06-23 13:49:04.706 INFO: Epoch 28: loss=11.8587, MAE_E=66.32 meV, MAE_F=76.02 meV / A, lr_cur=0.01000
2025-06-23 13:49:16.907 INFO: Epoch 30: loss=10.9760, MAE_E=53.17 meV, MAE_F=72.79 meV / A, lr_cur=0.01000
2025-06-23 13:49:29.141 INFO: Epoch 32: loss=10.1597, MAE_E=54.41 meV, MAE_F=69.67 meV / A, lr_cur=0.01000
2025-06-23 13:49:41.361 INFO: Epoch 34: loss=9.5397, MAE_E=43.19 meV, MAE_F=67.14 meV / A, lr_cur=0.01000
2025-06-23 13:49:53.599 INFO: Epoch 36: loss=9.0672, MAE_E=47.10 meV, MAE_F=65.11 meV / A, lr_cur=0.01000
2025-06-23 13:50:05.715 INFO: Epoch 38: loss=8.6585, MAE_E=39.83 meV, MAE_F=63.32 meV / A, lr_cur=0.01000
2025-06-23 13:50:17.892 INFO: Epoch 40: loss=8.2439, MAE_E=68.99 meV, MAE_F=61.53 meV / A, lr_cur=0.01000
2025-06-23 13:50:30.088 INFO: Epoch 42: loss=7.8773, MAE_E=40.67 meV, MAE_F=59.96 meV / A, lr_cur=0.01000
2025-06-23 13:50:42.241 INFO: Epoch 44: loss=7.6265, MAE_E=39.25 meV, MAE_F=58.89 meV / A, lr_cur=0.01000
2025-06-23 13:50:54.424 INFO: Epoch 46: loss=7.3677, MAE_E=39.67 meV, MAE_F=57.72 meV / A, lr_cur=0.01000
2025-06-23 13:51:06.659 INFO: Epoch 48: loss=7.1613, MAE_E=36.82 meV, MAE_F=56.69 meV / A, lr_cur=0.01000
2025-06-23 13:51:18.768 INFO: Epoch 50: loss=6.9368, MAE_E=43.44 meV, MAE_F=55.74 meV / A, lr_cur=0.01000
2025-06-23 13:51:30.927 INFO: Epoch 52: loss=6.7337, MAE_E=37.28 meV, MAE_F=54.81 meV / A, lr_cur=0.01000
